Date,tmr,microrev,mridv3l,mridv3s
03/08/2010,40051,35317,83926,80732
04/08/2010,40645,35191,84098,80634
05/08/2010,40679,35214,84581,80798
06/08/2010,41082,34860,85006,80840
09/08/2010,41250,34860,85240,80719
10/08/2010,41241,35175,85288,80719
11/08/2010,40385,35150,85633,80719
12/08/2010,40301,35150,86337,80719
13/08/2010,40281,35150,86261,81043
16/08/2010,40437,35150,86443,81043
17/08/2010,40465,35150,86443,80924
18/08/2010,40465,35150,86443,80924
19/08/2010,40465,34792,86309,80924
20/08/2010,40770,35042,86809,80924
23/08/2010,40645,35042,86685,80924
24/08/2010,40650,35002,86368,80924
25/08/2010,40562,35222,86538,80924
26/08/2010,40486,35792,86572,81356
27/08/2010,40673,35792,86786,80802
30/08/2010,40673,35792,85688,81323
31/08/2010,40741,36278,85688,81323
01/09/2010,40856,36278,85688,81460
02/09/2010,40856,36401,85688,80379
03/09/2010,40822,36401,85688,80816
07/09/2010,40784,36535,85688,80816
08/09/2010,40837,36535,85688,80816
09/09/2010,40837,36491,85688,80983
10/09/2010,40837,36526,85627,80983
13/09/2010,40837,36790,85814,80841
14/09/2010,40826,37104,85814,80769
15/09/2010,41114,37167,85814,80769
16/09/2010,41077,36720,85747,81047
17/09/2010,41077,36720,85703,81047
20/09/2010,41089,36720,86031,80881
21/09/2010,41084,36626,86031,80881
22/09/2010,41037,36630,86031,80881
23/09/2010,41002,36493,85886,80881
24/09/2010,40901,36808,85886,80412
27/09/2010,40803,36938,85886,80499
28/09/2010,40875,37055,85886,80499
29/09/2010,40921,37055,85886,80557
30/09/2010,41110,37035,85886,81296
01/10/2010,41156,37550,85731,81296
04/10/2010,41281,37145,85919,81296
05/10/2010,41886,37371,85665,81296
06/10/2010,41833,37751,85665,81499
07/10/2010,41680,37866,86011,81752
08/10/2010,41898,38026,86011,81737
11/10/2010,41805,38060,86011,81935
12/10/2010,41712,38060,86218,81827
13/10/2010,41712,38172,86218,81953
14/10/2010,41700,38607,85743,81441
15/10/2010,41840,38938,85757,81441
18/10/2010,41542,38674,85845,81441
19/10/2010,41564,39070,85875,81441
20/10/2010,41960,39070,86476,81441
21/10/2010,42004,38664,86890,82150
22/10/2010,42105,37888,86890,82221
25/10/2010,42105,37888,86890,82225
26/10/2010,42105,37519,86890,82153
27/10/2010,42118,37767,87348,82331
28/10/2010,41969,37767,87269,82331
29/10/2010,42011,38181,87521,82107
01/11/2010,42028,37962,87288,82341
02/11/2010,42123,38103,87288,82341
03/11/2010,42123,38448,87288,82421
04/11/2010,42094,38448,87288,82763
05/11/2010,41981,38448,87681,83121
08/11/2010,41997,38448,87672,82698
09/11/2010,41868,38599,87573,83543
10/11/2010,41991,39035,87865,83543
11/11/2010,42048,39035,87865,83666
12/11/2010,42006,39180,87909,83666
15/11/2010,42024,38450,88211,83666
16/11/2010,41839,38406,87881,83666
17/11/2010,42245,38406,87670,82970
18/11/2010,42339,38406,87670,83084
19/11/2010,42492,38869,87670,82361
22/11/2010,42535,38869,87670,82911
23/11/2010,42557,38831,87670,82944
24/11/2010,42452,38965,87670,83680
26/11/2010,42510,38872,87670,83736
29/11/2010,42451,39143,87670,83736
30/11/2010,42533,39208,87670,83409
01/12/2010,42522,39197,87670,83463
02/12/2010,42581,39197,87673,83499
03/12/2010,42665,39537,87673,83361
06/12/2010,42679,39843,87736,83077
07/12/2010,42315,39830,87729,83929
08/12/2010,42393,39674,87892,83929
09/12/2010,42502,39674,87892,83988
10/12/2010,42739,39806,88451,84117
13/12/2010,42762,40002,88447,84811
14/12/2010,42436,39812,88447,84811
15/12/2010,42305,39812,88558,84811
16/12/2010,42370,39769,88610,84795
17/12/2010,42417,40077,88610,84868
20/12/2010,42368,39666,88610,84868
21/12/2010,42368,40133,88610,84878
22/12/2010,42373,40442,88610,84909
23/12/2010,42387,40225,88610,84909
27/12/2010,42502,40483,88777,84909
28/12/2010,42311,41039,88777,84909
