DATE,OPEN,HIGH,LOW,CLOSE,MONTH,YEAR
2022-03-31,451.9798760477874,452.838641848851,445.336731550006,445.810546875,3,2022
2022-04-01,447.4589555865271,447.607013455594,443.3427962080854,447.0740051269531,4,2022
2022-04-04,447.2813173455845,451.01252652473795,446.42255152141337,450.9039306640625,4,2022
2022-04-05,449.34435602810555,451.920653607069,444.0140612838835,445.20843505859375,4,2022
2022-04-06,441.1219024608365,443.1355500226602,437.74603193289323,440.75665283203125,4,2022
2022-04-07,439.8386220985496,444.8728007733408,437.80521359489194,442.9775695800781,4,2022
2022-04-08,442.187921879019,444.8135920987515,440.18412488549666,441.7930908203125,4,2022
2022-04-11,438.3777118687532,439.25623880573,433.71866337812867,434.2418212890625,4,2022
2022-04-12,437.3610567915986,439.99660777514816,431.0140574301565,432.6329040527344,4,2022
2022-04-13,432.37622534478834,438.37773586139514,432.18867531704944,437.58807373046875,4,2022
2022-04-14,437.8249151768528,438.98970735080826,432.030686375136,432.1392822265625,4,2022
2022-04-18,431.1719245134774,434.07397922335247,429.9874013211575,432.31695556640625,4,2022
2022-04-19,432.2083673087827,440.0458852515848,432.0306978639156,439.29571533203125,4,2022
2022-04-20,441.1514978514859,441.7931021037304,437.7558964372643,438.9700012207031,4,2022
2022-04-21,442.7505650227025,444.2015924865886,431.4582222031067,432.40582275390625,4,2022
2022-04-22,431.2706467109699,432.42552822449574,419.9486929841932,420.54095458984375,4,2022
2022-04-25,418.20157048554097,423.15676491233705,413.4338959548317,422.9790954589844,4,2022
2022-04-26,420.3336712579291,420.5409824140129,410.6996669883952,410.7292785644531,4,2022
2022-04-27,411.8545742131147,417.4612839930367,409.6533766338877,411.8841857910156,4,2022
2022-04-28,416.83937571330307,424.0945129263174,412.20990864041187,422.2881164550781,4,2022
2022-04-29,418.122590650402,420.3731607878491,405.90237827849063,406.68218994140625,4,2022
2022-05-02,406.7512909963977,410.55160386827544,399.79226947482664,409.13018798828125,5,2022
2022-05-03,409.6533336303008,413.52271998034615,408.02460664568224,411.0056457519531,5,2022
2022-05-04,411.6965917905347,424.1142342747012,408.3700943589528,423.52197265625,5,2022
2022-05-05,419.0701765590599,419.5143803053247,404.1552209327463,408.46881103515625,5,2022
2022-05-06,405.793808079208,409.44603293275975,400.4931251903307,406.03070068359375,5,2022
2022-05-09,399.87124563987237,401.16433462443837,391.3822426744057,393.03070068359375,5,2022
2022-05-10,399.2691376094013,400.8386114702102,389.7239675670015,393.9388427734375,5,2022
2022-05-11,392.93200453931854,398.82494925655885,386.90085238252453,387.6806640625,5,2022
2022-05-12,384.34427346561733,390.69127219267284,380.1787411350971,387.27593994140625,5,2022
2022-05-13,391.58953751346104,397.97602850259346,390.50372951614355,396.5348815917969,5,2022
2022-05-16,394.81733758581424,398.7558277054697,392.4680522078872,394.9259033203125,5,2022
2022-05-17,401.2828087029515,403.2964863187299,397.38378034684496,403.0497131347656,5,2022
2022-05-18,398.29189730467766,398.5880130598939,385.5090350195297,386.8021240234375,5,2022
2022-05-19,383.60395123508613,389.0527220901314,382.11343165355345,384.43310546875,5,2022
2022-05-20,388.1741922746032,391.9054013603058,375.62825288009066,384.6009216308594,5,2022
2022-05-23,387.7596088641358,392.59638715288304,385.34124984344055,391.7968444824219,5,2022
2022-05-24,387.4931190402844,390.0496855919294,381.96539373665865,388.80596923828125,5,2022
2022-05-25,387.2463410977572,394.2941975510683,386.8317790261971,392.24102783203125,5,2022
2022-05-26,393.52427217895274,401.7862335146268,393.3071105732646,400.07855224609375,5,2022
2022-05-27,402.64497874352287,410.0185622686172,402.4376977153373,409.9001159667969,5,2022
2022-05-31,408.21218187494867,411.0846253019533,404.73762634874663,407.6001892089844,5,2022
2022-06-01,409.8113086007847,410.8674749449809,401.6776438898498,404.3033142089844,6,2022
2022-06-02,404.1355246517717,412.0519976170431,401.7862391003975,412.0026550292969,6,2022
2022-06-03,407.07703637049326,408.69588290921973,404.2243540412998,405.2410583496094,6,2022
2022-06-06,409.42631210731685,411.23267850804416,405.2508991090944,406.47491455078125,6,2022
2022-06-07,402.83252895219164,410.84771669836965,402.3488330546271,410.3739013671875,6,2022
2022-06-08,408.5872747496361,410.4528944150534,405.08310770837585,405.9122619628906,6,2022
2022-06-09,404.0565099556134,406.42552633906934,396.2584838867187,396.25848388671875,6,2022
2022-06-10,389.78318577869834,390.67156321947857,384.7193952054675,384.76873779296875,6,2022
2022-06-13,374.9471651026979,376.88185834450024,368.4816898955157,370.1597595214844,6,2022
2022-06-14,371.98588912446036,373.06181655002945,365.80667919775505,369.0443420410156,6,2022
2022-06-15,372.4892953910994,378.9448902324024,367.31693916355664,374.3055725097656,6,2022
2022-06-16,365.72773508574454,366.1521777277029,359.3807059716223,361.91754150390625,6,2022
2022-06-17,362.3507727700105,366.18731810081624,359.03964524477607,362.6977233886719,6,2022
2022-06-21,368.6756485505973,373.2755277926528,368.59632307443155,371.8281555175781,6,2022
2022-06-22,367.4166185797138,375.4466139718613,366.98041920753155,371.154052734375,6,2022
2022-06-23,373.3845878448163,375.5556311019528,369.6670003608496,374.79229736328125,6,2022
2022-06-24,378.1034357278893,386.71832778913887,378.0736962373248,386.7084045410156,6,2022
2022-06-27,387.6700217121338,387.97733986587934,384.09123858131414,385.2312927246094,6,2022
2022-06-28,386.85710722213247,389.76177487665194,377.2409358442654,377.3598937988281,6,2022
2022-06-29,377.93490372078156,378.96589284626776,375.1491939755935,377.0525817871094,6,2022
2022-06-30,372.98800845346443,377.36981806578456,369.3398233192687,373.9892883300781,6,2022
2022-07-01,373.3052820550179,378.4008700902375,370.5691278413168,377.94482421875,7,2022
2022-07-05,372.631164378371,378.6784463501185,369.6769104960929,378.6585998535156,7,2022
2022-07-06,378.80727785353326,382.5347885667345,376.31899321593943,379.93743896484375,7,2022
2022-07-07,381.79126228184083,386.4605435598066,379.9572464570447,385.6278076171875,7,2022
2022-07-08,383.922684377507,387.2635817483966,382.32661467028646,385.31060791015625,7,2022
